BorrowerName,BorrowerCity,BorrowerState,BorrowerZip,CurrentApprovalAmount,ForgivenessAmount,DateApproved,LoanStatus,BusinessType,NAICSCode,NonProfit,Gender,Veteran,JobsReported,ForgivenessDate,ServicingLenderName,OriginatingLender,OriginatingLenderCity,OriginatingLenderState
DENDREON PHARMACEUTICALS LLC,Seal Beach,CA,90740-5618,10000000.0,10133661.11,04/14/2020,Paid in Full,Limited  Liability Company(LLC),325412,,Unanswered,Unanswered,500.0,08/19/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
"QSC, LLC",Costa Mesa,CA,92626-1440,10000000.0,10116511.11,04/08/2020,Paid in Full,Limited  Liability Company(LLC),334310,,Unanswered,Unanswered,500.0,06/11/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
GOODWILL INDUSTRIES OF ORANGE COUNTY CA,Santa Ana,CA,92703-3412,10000000.0,10101095.89,05/23/2021,Paid in Full,501(c)3 ¿ Non Profit,453310,,Unanswered,Unanswered,500.0,06/23/2022,"Lendistry SBLC, LLC","BSD Capital, LLC dba Lendistry",Brea,CA
MANGAN INC,Long Beach,CA,90810,9437381.0,9340835.38,04/27/2020,Paid in Full,Corporation,541330,,Unanswered,Unanswered,425.0,03/18/2021,"U.S. Bank, National Association",US Bank National Association,San Francisco,CA
"BAR BAKERS, LLC",Los Alamitos,CA,90720-2503,8559575.0,8639542.54,08/04/2020,Paid in Full,Limited  Liability Company(LLC),311812,,Male Owned,Unanswered,500.0,07/21/2021,"Harvest Small Business Finance, LLC","Harvest Small Business Finance, LLC",Laguna Hills,CA
"OBAGI COSMECEUTICALS, LLC",Long Beach,CA,90806,6750000.0,6823972.6,04/27/2020,Paid in Full,Limited  Liability Company(LLC),325412,,Unanswered,Unanswered,171.0,06/11/2021,"U.S. Bank, National Association",US Bank National Association,San Francisco,CA
"STRAUB DISTRIBUTING COMPANY, LTD",Anaheim,CA,92807-1909,4370992.0,4422513.85,04/09/2020,Paid in Full,Partnership,424810,,Unanswered,Unanswered,319.0,06/17/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
LANDSEA HOLDINGS CORPORATION,Newport Beach,CA,92660,4265605.0,4313520.02,04/15/2020,Paid in Full,Corporation,236117,,Unanswered,Unanswered,285.0,06/09/2021,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA
BORBON INC.,Anaheim,CA,92801,4085897.0,4147412.45,04/30/2020,Paid in Full,Subchapter S Corporation,238320,,Unanswered,Unanswered,192.0,11/01/2021,BMO Bank National Association,BMO Bank National Association,San Francisco,CA
"SARES REGIS OPERATING COMPANY, L.P.",Newport Beach,CA,92660,3999995.0,4052550.49,04/30/2020,Paid in Full,Partnership,236117,,Unanswered,Unanswered,184.0,08/25/2021,BMO Bank National Association,BMO Bank National Association,San Francisco,CA
HISTORIC MISSION INN CORPORATION,Newport Beach,CA,92660-2423,3912700.0,,03/16/2021,Paid in Full,Subchapter S Corporation,721110,,Unanswered,Unanswered,300.0,,Fifth Third Bank,Fifth Third Bank,CINCINNATI,OH
"MOONSTONE PEO, INC.",Anaheim,CA,92801,3867456.0,,05/01/2020,Exemption 4,Corporation,999990,,Unanswered,Unanswered,465.0,,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
"BEST INTERIORS, INC.",Anaheim,CA,92806,3813800.0,3856013.02,04/28/2020,Paid in Full,Subchapter S Corporation,238310,,Male Owned,Unanswered,244.0,06/09/2021,"Zions Bank, A Division of","Zions Bank, A Division of",SALT LAKE CITY,UT
"MILLIE AND SEVERSON, INC.",Los Alamitos,CA,90720-2440,3695930.0,3737344.67,04/13/2020,Paid in Full,Corporation,238990,,Unanswered,Unanswered,203.0,06/11/2021,"U.S. Bank, National Association",US Bank National Association,San Francisco,CA
"BALBOA BAY CLUB VENTURES, LLC",Newport Beach,CA,92663-5001,3631668.0,3673656.05,04/12/2020,Paid in Full,Limited  Liability Company(LLC),721110,,Unanswered,Unanswered,243.0,06/16/2021,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA
SEGERSTROM CENTER FOR THE ARTS,Costa Mesa,CA,92626,3546030.0,3607041.15,05/01/2020,Paid in Full,Corporation,711310,,Unanswered,Unanswered,242.0,01/24/2022,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
"STATCO ENGINEERING & FABRICATORS, INC.",Huntington Beach,CA,92647-6787,3395774.0,3435246.1,04/09/2020,Paid in Full,Subchapter S Corporation,333241,,Unanswered,Unanswered,189.0,06/11/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
"JBI INTERIORS, LLC",Long Beach,CA,90810,3372610.0,3419734.14,04/30/2020,Paid in Full,Limited  Liability Company(LLC),337127,,Unanswered,Unanswered,285.0,10/08/2021,"Harvest Small Business Finance, LLC","Harvest Small Business Finance, LLC",Laguna Hills,CA
MATRIX ENVIRONMENTAL INC.,Long Beach,CA,90805-4417,3362600.0,3414626.89,05/01/2020,Paid in Full,Corporation,238990,,Unanswered,Unanswered,145.0,12/13/2021,"Newtek Small Business Finance, Inc.","Newtek Small Business Finance, Inc.",LAKE SUCCESS,NY
"GITIBIN AND ASSOCIATES, INC",Newport Beach,CA,92660-1810,3318200.0,3358479.26,04/16/2020,Paid in Full,Corporation,532111,,Male Owned,Unanswered,296.0,06/29/2021,CommerceWest Bank,CommerceWest Bank,Irvine,CA
ARGUS MANAGEMENT COMPANY LLC,Long Beach,CA,90804,3306882.0,3345205.59,05/01/2020,Paid in Full,Limited  Liability Company(LLC),561210,,Unanswered,Unanswered,447.0,07/01/2021,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
CALVARY CHAPEL COSTA MESA,Santa Ana,CA,92704-7014,3200640.0,3222422.13,03/18/2021,Paid in Full,501(c)3 ¿ Non Profit,813110,,Unanswered,Unanswered,470.0,11/26/2021,Cass Commercial Bank,Cass Commercial Bank,SAINT LOUIS,MO
HOMEXPRESS MORTGAGE CORP,Santa Ana,CA,92705-5733,3190200.0,3250333.08,04/16/2020,Paid in Full,Corporation,531390,,Unanswered,Non-Veteran,166.0,03/16/2022,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",San Francisco,CA
"PIONEER CIRCUITS, INC.",Santa Ana,CA,92704,3077900.0,3126893.42,04/14/2020,Paid in Full,Sole Proprietorship,453998,,Male Owned,Non-Veteran,283.0,12/06/2021,Customers Bank,"Readycap Lending, LLC",BERKELEY HEIGHTS,NJ
"MAGTEK, INC.",Seal Beach,CA,90740-5617,3000000.0,3032666.67,04/27/2020,Paid in Full,Corporation,334118,,Female Owned,Veteran,231.0,06/15/2021,"Citibank, N.A.","Citibank, N.A.",Sioux Falls,SD
"HARVEST LANDSCAPE ENTERPRISES, INC.",Anaheim,CA,92807,2982631.0,3015807.66,04/27/2020,Paid in Full,Corporation,541320,,Unanswered,Unanswered,400.0,06/15/2021,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA
CONSOLIDATED ANALYTICS INC,Anaheim,CA,92806,2972967.0,3005628.91,04/27/2020,Paid in Full,Corporation,531390,,Unanswered,Unanswered,283.0,06/18/2021,Loan Source Incorporated,Pacific Premier Bank,IRVINE,CA
NEWPORT CENTER HOTEL LLC,Newport Beach,CA,92660-6206,2923777.5,2948769.79,04/27/2021,Paid in Full,Limited  Liability Company(LLC),721110,,Unanswered,Unanswered,382.0,05/11/2022,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA
ENVENT CORPORATION,Long Beach,CA,90806,2838780.0,2873156.46,05/01/2020,Paid in Full,Corporation,541620,,Unanswered,Unanswered,164.0,07/21/2021,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
SOVEREIGN LENDING GROUP,Costa Mesa,CA,92626-1476,2779300.0,2817524.89,04/14/2020,Paid in Full,Corporation,522310,,Male Owned,Unanswered,185.0,09/02/2021,Loan Source Incorporated,Flagstar Bank National Association,Troy,MI
"KWK TRUCKING, INC.",Huntington Beach,CA,92649,2740779.0,2794092.78,04/28/2020,Paid in Full,Subchapter S Corporation,481219,,Unanswered,Unanswered,183.0,04/15/2022,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA
"CROWN FORWARDING, INC",Huntington Beach,CA,92649,2652807.0,2688546.21,04/30/2020,Paid in Full,Corporation,488510,,Unanswered,Unanswered,151.0,09/10/2021,BMO Bank National Association,BMO Bank National Association,San Francisco,CA
DIVERSIFIED THERMAL SERVICES,Anaheim,CA,92806-1822,2625700.0,2655266.1,04/15/2020,Paid in Full,Subchapter S Corporation,236220,,Unanswered,Non-Veteran,105.0,06/11/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",San Francisco,CA
GOODWILL SERVING THE PEOPLE OF SOUTHERN LOS ANGELES COUNTY,Long Beach,CA,90806-5243,2601330.0,2637748.62,04/27/2020,Paid in Full,Non-Profit Organization,813319,Y,Male Owned,Unanswered,351.0,10/13/2021,"Harvest Small Business Finance, LLC","Harvest Small Business Finance, LLC",Laguna Hills,CA
ULTRA-WALL INC,Anaheim,CA,92801,2581495.0,2609926.81,05/01/2020,Paid in Full,Corporation,238310,,Unanswered,Unanswered,256.0,06/09/2021,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
"PLAZA INVESTMENT & CONSULTANCY, LLC",Fountain Valley,CA,92708-6838,2512500.0,2540103.08,04/27/2020,Paid in Full,Limited  Liability Company(LLC),721110,,Unanswered,Unanswered,247.0,06/11/2021,Enterprise Bank & Trust,Enterprise Bank & Trust,CERRITOS,CA
PROHEALTH PARTNERS A MEDICAL GROUP INC,Long Beach,CA,90804,2493435.0,2528889.6,05/01/2020,Paid in Full,Corporation,621111,,Unanswered,Unanswered,153.0,10/06/2021,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
PARPRO TECHNOLOGIES INC.,Santa Ana,CA,92704-5947,2492867.0,2521843.81,04/13/2020,Paid in Full,Corporation,334418,,Unanswered,Unanswered,162.0,06/15/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
"HEALTHCARE SERVICES, INC.",Costa Mesa,CA,92626,2472700.0,2523237.92,05/11/2020,Paid in Full,Corporation,621420,,Male Owned,Non-Veteran,243.0,05/31/2022,"Zions Bank, A Division of","Zions Bank, A Division of",SALT LAKE CITY,UT
INTEGRATED DEMOLITION AND REMEDIATION INC,Anaheim,CA,92807,2357200.0,2382867.29,04/27/2020,Paid in Full,Corporation,238910,,Unanswered,Non-Veteran,165.0,06/09/2021,Enterprise Bank & Trust,Enterprise Bank & Trust,SAN DIEGO,CA
HOTEL CALIFORNIA BY THE SEA LLC,Newport Beach,CA,92663-3728,2305400.0,2331864.73,04/14/2020,Paid in Full,Limited  Liability Company(LLC),623220,,Unanswered,Non-Veteran,274.0,06/11/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",San Francisco,CA
"BRANDED ONLINE, INC.",Costa Mesa,CA,92627,2265996.0,2298223.5,04/14/2020,Paid in Full,Corporation,541511,,Male Owned,Non-Veteran,136.0,09/20/2021,First-Citizens Bank & Trust Company,Silicon Valley Bridge Bank NA,SANTA CLARA,CA
CALIFORNIA SOUTHERN UNIVERSITY,Costa Mesa,CA,92626-1502,2265302.0,1982448.93,02/06/2021,Paid in Full,Corporation,611310,,Unanswered,Unanswered,199.0,12/17/2021,BMO Bank National Association,BMO Bank National Association,San Francisco,CA
"ECONOLITE CONTROL PRODUCTS, INC.",Anaheim,CA,92807,2114792.0,2137878.48,05/01/2020,Paid in Full,Subchapter S Corporation,334290,,Unanswered,Unanswered,124.0,06/11/2021,BMO Bank National Association,BMO Bank National Association,San Francisco,CA
HARDIN AUTOMOTIVE,Anaheim,CA,92806,2063800.0,2090544.59,04/12/2020,Paid in Full,Subchapter S Corporation,441110,,Unanswered,Unanswered,177.0,08/04/2021,Live Oak Banking Company,Live Oak Banking Company,WILMINGTON,NC
"TROY GROUP, INC.",Costa Mesa,CA,92626-7719,2058400.0,2079727.31,04/27/2020,Paid in Full,Subchapter S Corporation,423490,,Male Owned,Non-Veteran,132.0,05/06/2021,CommerceWest Bank,CommerceWest Bank,Irvine,CA
AUTOMATIC FIRE SPRINKLERS INC,Huntington Beach,CA,92647-4428,2049959.0,1215746.93,04/13/2020,Paid in Full,Corporation,238220,,Unanswered,Unanswered,150.0,08/20/2021,"U.S. Bank, National Association",US Bank National Association,San Francisco,CA
"INFOSEND, INC.",Anaheim,CA,92807-1816,2044907.0,2068287.1,04/16/2020,Paid in Full,Subchapter S Corporation,323111,,Male Owned,Unanswered,173.0,06/11/2021,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL
HOME AND BODY COMPANY,Huntington Beach,CA,92648,2016800.0,2039841.25,05/01/2020,Paid in Full,Corporation,325612,,Female Owned,Non-Veteran,187.0,06/25/2021,"Zions Bank, A Division of","Zions Bank, A Division of",SALT LAKE CITY,UT
"TABER COMPANY, INC.",Santa Ana,CA,92705-4717,2000000.0,2019232.88,02/20/2021,Paid in Full,Corporation,337212,,Unanswered,Unanswered,196.0,02/11/2022,American Business Bank,American Business Bank,Anaheim,CA
BEST-VIP CHAUFFEURED WORLDWIDE CORP.,Santa Ana,CA,92707-3403,2000000.0,1877901.48,01/23/2021,Paid in Full,Corporation,485320,,Male Owned,Non-Veteran,213.0,02/11/2022,"Harvest Small Business Finance, LLC","Harvest Small Business Finance, LLC",Laguna Hills,CA
POLLY'S PIES INC.,Anaheim,CA,92801,2000000.0,2028109.59,02/11/2021,Paid in Full,Corporation,722511,,Unanswered,Unanswered,86.0,07/19/2022,"Harvest Small Business Finance, LLC","Harvest Small Business Finance, LLC",Laguna Hills,CA
CRITCHFIELD MECHANICAL INC. OF SOUTHERN CALIFORNIA,Huntington Beach,CA,92649-1100,2000000.0,2017055.56,02/05/2021,Paid in Full,Corporation,238220,,Unanswered,Unanswered,86.0,12/14/2021,First-Citizens Bank & Trust Company,"SVB, A Division of First-Citizens Bank and Trust Company",Boston,MA
CROWN FORWARDING INC.,Huntington Beach,CA,92649-1323,2000000.0,2024833.33,06/30/2021,Paid in Full,Corporation,488510,,Unanswered,Unanswered,119.0,10/14/2022,BMO Bank National Association,BMO Bank National Association,San Francisco,CA
PORTERMATT ELECTRIC INC.,Huntington Beach,CA,92649-1524,2000000.0,2018465.75,03/12/2021,Paid in Full,Corporation,238210,,Male Owned,Non-Veteran,166.0,03/14/2022,"Harvest Small Business Finance, LLC","Harvest Small Business Finance, LLC",Laguna Hills,CA
YOUNG MENS CHRISTIAN ASSOCIATION OF GREA,Long Beach,CA,90807-6017,2000000.0,2013753.42,03/27/2021,Paid in Full,Non-Profit Organization,813410,Y,Unanswered,Unanswered,500.0,12/09/2021,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA
JOB PRO STAFFING INC.,Santa Ana,CA,92701-5185,2000000.0,2032612.22,05/26/2021,Paid in Full,Subchapter S Corporation,561311,,Unanswered,Unanswered,283.0,01/18/2023,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",COLUMBUS,OH
AIR CARITAS CORPORATION,Newport Beach,CA,92658-1339,2000000.0,2022666.67,03/23/2021,Paid in Full,Corporation,481211,,Male Owned,Unanswered,144.0,05/23/2022,"BOKF, National Association","BOKF, National Association",TULSA,OK
SMART CIRCLE INTERNATIONAL LLC,Newport Beach,CA,92660-2008,2000000.0,2017611.11,02/25/2021,Paid in Full,Limited  Liability Company(LLC),423990,,Unanswered,Unanswered,125.0,01/14/2022,East West Bank,East West Bank,PASADENA,CA
CHIPTON-ROSS INC.,Long Beach,CA,90808-3401,2000000.0,2026555.56,03/31/2021,Paid in Full,Corporation,541214,,Unanswered,Unanswered,177.0,08/01/2022,Enterprise Bank & Trust,Enterprise Bank & Trust,CERRITOS,CA
GITIBIN & ASSOCIATES INC.,Newport Beach,CA,92660-1810,2000000.0,2023000.0,01/28/2021,Paid in Full,Corporation,532111,,Male Owned,Unanswered,296.0,03/24/2022,CommerceWest Bank,CommerceWest Bank,Irvine,CA
ARCHITECTURAL COATINGS INC.,Santa Ana,CA,92705-4907,2000000.0,2013444.44,02/19/2021,Paid in Full,Corporation,238320,,Unanswered,Unanswered,139.0,10/26/2021,"Citibank, N.A.","Citibank, N.A.",Sioux Falls,SD
BALBOA BAY CLUB VENTURES LLC,Newport Beach,CA,92663-5026,2000000.0,2007123.29,04/30/2021,Paid in Full,Limited  Liability Company(LLC),721110,,Unanswered,Unanswered,240.0,09/14/2021,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA
KING'S SEAFOOD COMPANY LLC,Costa Mesa,CA,92626-4601,2000000.0,2016602.74,02/22/2021,Paid in Full,Limited  Liability Company(LLC),722511,,Unanswered,Unanswered,71.0,12/23/2021,City National Bank,City National Bank,LOS ANGELES,CA
GBS LINENS,Anaheim,CA,92801-5445,2000000.0,1619468.48,03/17/2021,Paid in Full,Corporation,722310,,Male Owned,Non-Veteran,35.0,08/03/2023,CommerceWest Bank,CommerceWest Bank,Irvine,CA
FORTY-NINER SHOPS,Long Beach,CA,90840,2000000.0,2016931.51,03/03/2021,Paid in Full,Non-Profit Organization,451211,Y,Unanswered,Unanswered,140.0,01/07/2022,City National Bank,City National Bank,LOS ANGELES,CA
ALL AMERICAN RACERS INC.,Santa Ana,CA,92707-3250,2000000.0,2011342.47,02/02/2021,Paid in Full,Corporation,336419,,Male Owned,Unanswered,166.0,09/15/2021,Citizens Business Bank,Citizens Business Bank,ONTARIO,CA
SHAW & SONS INC.,Costa Mesa,CA,92627-4315,2000000.0,2009589.04,06/29/2021,Paid in Full,Subchapter S Corporation,237310,,Male Owned,Unanswered,162.0,01/06/2022,Citizens Business Bank,Citizens Business Bank,ONTARIO,CA
WRC NEWPORT LLC,Newport Beach,CA,92660-6219,2000000.0,2041555.56,02/08/2021,Paid in Full,Limited  Liability Company(LLC),721110,,Male Owned,Non-Veteran,181.0,03/07/2023,East West Bank,East West Bank,PASADENA,CA
HOMEXPRESS MORTGAGE CORP,Santa Ana,CA,92705-5733,2000000.0,2024000.0,02/22/2021,Paid in Full,Corporation,522291,,Unanswered,Non-Veteran,143.0,05/09/2022,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",San Francisco,CA
KEESAL YOUNG &AMP; LOGAN A PROFESSIONAL CORPORATION,Long Beach,CA,90802-4307,2000000.0,2027726.03,01/21/2021,Paid in Full,Corporation,541110,,Unanswered,Unanswered,109.0,06/15/2022,"Zions Bank, A Division of","Zions Bank, A Division of",SALT LAKE CITY,UT
PREFERRED HOTEL GROUP INC.,Newport Beach,CA,92660-7943,2000000.0,2023726.03,01/23/2021,Paid in Full,Corporation,541618,,Male Owned,Non-Veteran,149.0,04/08/2022,Sunwest Bank,Sunwest Bank,Sandy,UT
JCM INDUSTRIES,Huntington Beach,CA,92649-1138,2000000.0,2021095.89,03/25/2021,Paid in Full,Corporation,332999,,Male Owned,Unanswered,285.0,04/20/2022,City National Bank,City National Bank,LOS ANGELES,CA
WJ NEWPORT LLC,Newport Beach,CA,92660-2010,2000000.0,2016944.44,01/22/2021,Paid in Full,Limited  Liability Company(LLC),721110,,Unanswered,Unanswered,169.0,11/26/2021,East West Bank,East West Bank,PASADENA,CA
FRESH GRILL LLC,Santa Ana,CA,92707-4201,2000000.0,2024000.0,01/30/2021,Paid in Full,Limited  Liability Company(LLC),311999,,Unanswered,Unanswered,260.0,04/12/2022,Comerica Bank,Comerica Bank,DALLAS,TX
HARDIN AUTOMOTIVE,Anaheim,CA,92806-5612,2000000.0,2012164.38,04/01/2021,Paid in Full,Subchapter S Corporation,441110,,Male Owned,Non-Veteran,146.0,11/24/2021,Live Oak Banking Company,Live Oak Banking Company,WILMINGTON,NC
AIRE RITE A/C & REFRIGERATION,Huntington Beach,CA,92649-1025,2000000.0,2016000.0,02/04/2021,Paid in Full,Corporation,238220,,Unanswered,Unanswered,134.0,12/08/2021,Citizens Business Bank,Citizens Business Bank,ONTARIO,CA
ENVENT CORPORATION,Long Beach,CA,90806-2321,2000000.0,2021150.68,02/24/2021,Paid in Full,Corporation,562910,,Unanswered,Unanswered,157.0,03/23/2022,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
ELECTRONIC WAVEFORM LAB INC.,Huntington Beach,CA,92649-1128,2000000.0,2016547.95,01/23/2021,Paid in Full,Corporation,334510,,Male Owned,Veteran,192.0,12/03/2021,American Business Bank,American Business Bank,Anaheim,CA
THE WATERFRONT HOTEL LLC,Huntington Beach,CA,92648-5307,2000000.0,2022555.56,02/22/2021,Paid in Full,Limited  Liability Company(LLC),721110,,Unanswered,Unanswered,253.0,04/11/2022,East West Bank,East West Bank,PASADENA,CA
"SALT CREEK GRILLE RESTAURANTS, LLC",Costa Mesa,CA,92626-4601,2000000.0,2030301.37,01/19/2021,Paid in Full,Limited  Liability Company(LLC),722511,,Male Owned,Unanswered,130.0,08/05/2022,Commercial Bank of California,Commercial Bank of California,IRVINE,CA
LIDO HOUSE LLC,Newport Beach,CA,92663-3816,2000000.0,2017444.44,02/22/2021,Paid in Full,Limited  Liability Company(LLC),721110,,Unanswered,Unanswered,138.0,01/05/2022,CommerceWest Bank,CommerceWest Bank,Irvine,CA
MOBILITIE MANAGEMENT LLC,Newport Beach,CA,92660-6403,2000000.0,2026465.75,06/15/2021,Paid in Full,Limited  Liability Company(LLC),531390,,Unanswered,Unanswered,300.0,10/14/2022,"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",SIOUX FALLS,SD
PLAZA INVESTMENT & CONSULTANCY LLC,Anaheim,CA,92802-3515,2000000.0,2021888.89,02/10/2021,Paid in Full,Limited  Liability Company(LLC),721110,,Unanswered,Unanswered,247.0,03/17/2022,Enterprise Bank & Trust,Enterprise Bank & Trust,CERRITOS,CA
STACKED RESTAURANTS LLC,Santa Ana,CA,92704-6904,2000000.0,1262273.08,02/17/2021,Charged Off,Limited  Liability Company(LLC),722511,,Unanswered,Unanswered,298.0,02/15/2022,Live Oak Banking Company,Live Oak Banking Company,WILMINGTON,NC
CIRKS CONSTRUCTION INC.,Anaheim,CA,92806-5636,2000000.0,2007232.88,01/29/2021,Paid in Full,Corporation,236210,,Male Owned,Unanswered,272.0,08/19/2021,Partners Bank of California,Partners Bank of California,MISSION VIEJO,CA
LAZY DOG RESTAURANTS LLC,Costa Mesa,CA,92626-1693,2000000.0,2011444.44,03/04/2021,Paid in Full,Limited  Liability Company(LLC),722511,,Unanswered,Unanswered,500.0,10/05/2021,First Horizon Bank,First Horizon Bank,MEMPHIS,TN
D & D GEAR INCORPORATED,Anaheim,CA,92807-1911,2000000.0,2014356.16,02/22/2021,Paid in Full,Corporation,336412,,Unanswered,Unanswered,235.0,11/15/2021,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
SPECIALTY RESTAURANTS CORPORATION,Anaheim,CA,92808-2214,2000000.0,2036547.95,02/17/2021,Paid in Full,Corporation,722511,,Male Owned,Non-Veteran,215.0,12/23/2022,United Business Bank,United Business Bank,Irvine,CA
TURBO AIR INC.,Long Beach,CA,90808-1789,2000000.0,2020493.15,02/26/2021,Paid in Full,Subchapter S Corporation,423830,,Male Owned,Non-Veteran,173.0,03/08/2022,City National Bank,City National Bank,LOS ANGELES,CA
TURELK INC.,Long Beach,CA,90808-1787,2000000.0,2016219.18,01/22/2021,Paid in Full,Corporation,236220,,Unanswered,Unanswered,112.0,11/22/2021,"California Bank of Commerce, NA","California Bank of Commerce, NA",SAN DIEGO,CA
JBI INTERIORS LLC,Long Beach,CA,90810-1115,2000000.0,2026027.4,02/12/2021,Paid in Full,Limited  Liability Company(LLC),337215,,Unanswered,Unanswered,282.0,06/10/2022,"California International Bank, A National Banking Association","California International Bank, A National Banking Association",WESTMINSTER,CA
TAMME INC.,Santa Ana,CA,92704-6437,2000000.0,2019013.7,01/23/2021,Paid in Full,Corporation,532289,,Male Owned,Non-Veteran,238.0,01/18/2022,American Business Bank,American Business Bank,Anaheim,CA
UNISON ELECTRIC,Huntington Beach,CA,92647-4429,2000000.0,2019287.67,03/25/2021,Paid in Full,Corporation,238210,,Male Owned,Non-Veteran,136.0,03/18/2022,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC
INFINITY DRYWALL CONTRACTING INC.,Anaheim,CA,92802-1019,2000000.0,2016767.12,05/11/2021,Paid in Full,Corporation,238310,,Unanswered,Unanswered,292.0,03/29/2022,Loan Source Incorporated,Northeast Bank,LEWISTON,ME
MAGTEK INC.,Seal Beach,CA,90740-5617,2000000.0,2014611.11,03/18/2021,Paid in Full,Corporation,334118,,Unanswered,Unanswered,211.0,12/17/2021,"Citibank, N.A.","Citibank, N.A.",Sioux Falls,SD
ELEVATED RESOURCES INC,Newport Beach,CA,92660-2348,2000000.0,2027726.03,02/04/2021,Paid in Full,Corporation,541611,,Male Owned,Non-Veteran,145.0,06/30/2022,American Business Bank,American Business Bank,Anaheim,CA
SYSTEMS PAVING INC.,Santa Ana,CA,92705-5438,2000000.0,2019555.56,02/24/2021,Paid in Full,Corporation,238990,,Male Owned,Non-Veteran,286.0,02/14/2022,CommerceWest Bank,CommerceWest Bank,Irvine,CA
INNOVATIVE CONSTRUCTION SOLUTI,Costa Mesa,CA,92626-7023,2000000.0,2040657.53,02/06/2021,Paid in Full,Corporation,541330,,Unanswered,Unanswered,114.0,03/01/2023,Umpqua Bank,Umpqua Bank,ROSEBURG,OR
OUTSOURCE UTILITY CONTRACTOR CORP.,Anaheim,CA,92807-2523,2000000.0,2022191.78,02/04/2021,Paid in Full,Subchapter S Corporation,237130,,Female Owned,Non-Veteran,167.0,03/18/2022,City National Bank,City National Bank,LOS ANGELES,CA
